Name,Mobile Phone,Address
ဥတ္ကရလုလင် ဆေးခန်း,09440008424,"ဗဟိုလမ်းနှင့် ဗားကရာလမ်းထောင့်၊ ကိုးထပ်ကြီးဘုရား၀င်း၊ စမ်းချောင်း"
Direct Blood Donate,09420082161,"အမှတ် ၅၃၊ ပထမထပ်၊ ဓမ္မိက၀တီလမ်း၊ စမ်းချောင်း"
Blood Donation (MBDA),01526901,"အမှတ် ၁၅(C)၊ ဓမ္မစေတီလမ်း၊ စမ်းချောင်း"
ယာဉ်ထိန်းရဲရုံး (အရေးပေါ်),01500005,"ပြည်လမ်း၊ စမ်းချောင်း"
ဆာကူရာ ဆေးရုံ,01512668,"အမှတ် ၂၃၊ ရှင်စောပုလမ်း၊ စမ်းချောင်း"
အာရှတော်၀င် ဆေးရုံ,01538055,"အမှတ် ၁၄၊ ဗဟိုလမ်း၊ စမ်းချောင်း"
သုခမင်္ဂလာ အထူးကုဆေးခန်း,0973170255,"အမှတ် ၄၆/၄၈၊ ရတနာမြိုင်ကွန်ဒို၊ ရှမ်းကုန်းလမ်း၊ စမ်းချောင်း"
ရွှေ အထွေထွေကုဆေးခန်း,095140671,"အမှတ် ၁၁၆၊ စမ်းချောင်းလမ်း၊ စမ်းချောင်း"
ပိုလို အထူးကုဆေးခန်း,09421168222,"အမှတ် ၁၂၉/၁၃၁၊ ဗားကရာလမ်း၊ စမ်းချောင်း"
ခေတ္တာ ဆေးခန်း,0973159158,"အမှတ် ၂၉/B၊ မင်္ဂလာလမ်း၊ စမ်းချောင်း"
Int'l Marine Centre Medical,01524299,"အမှတ် ၁၇/၁၊ ကျွန်းတောလမ်း၊ စမ်းချောင်း"
Green Life အထူးကုဆေးခန်း,09422493759,"အမှတ် S/၈၊ ပန်းလှိုင်အိမ်ယာ၊ စမ်းချောင်း"
ကုမုဒြာ အထူးကုဆေးခန်း,01510758,"အမှတ် ၁၄၄၊ စမ်းချောင်းလမ်း၊ စမ်းချောင်း"
အေးရိပ် အထွေထွေကုဆေးခန်း,01537656,"အမှတ် ၄၀၊ မြောင်းမြလမ်း၊ စမ်းချောင်း"
လင်းရောင်သစ် မျက်စိဆေးခန်း,01503950,"အမှတ် ၂၆၊ သီရိမင်္ဂလာလမ်း၊ မြေနီကုန်း၊ စမ်းချောင်း"
ပွိုင့် အထွေထွေကုဆေးခန်း,01516543,"အမှတ် ၁၃/B၊ အောင်တော်မူလမ်း၊ စမ်းချောင်း"
Neo Vision မျက်စိအထူးကု,01534569,"ဗားကရာကွန်ဒို၊ ဗားကရာလမ်း၊ စမ်းချောင်း"
အမေရိကန်ဗွီရှင်း (၄) မျက်စိ,01516700,"အမှတ် ၂၄၉၊ ဗားကရာလမ်း၊ စမ်းချောင်း"
Right Lab,01516522,"အခန်း ၁၀၃၊ ဓနလှိုင်တာဝါ၊ ပြည်လမ်း၊ စမ်းချောင်း"
မေတ္တာမွန် ဆေးခန်း,01539493,"အမှတ် ၆၂၊ ေ၀ဋု၀န်မိန်းလမ်း၊ စမ်းချောင်း"
119 ဆေးခန်း,095161700,"အမှတ် ၁၁၉၊ ကျွန်းတောလမ်း၊ စမ်းချောင်း"
သပြေ ဆေးခန်း,01535928,"အမှတ် ၁၇၈၊ ဗဟိုလမ်း၊ စမ်းချောင်း"
လွင် ဆေးခန်း (ကြံခင်းလမ်း),09420093808,"အမှတ် ၃၀၊ ကြံခင်းလမ်း၊ စမ်းချောင်း"
လွင် ဆေးခန်း (ရှမ်းကုန်းလမ်း),01502032,"အမှတ် ၂၁၊ ရှမ်းကုန်းလမ်း၊ စမ်းချောင်း"
မြင့်မိုရ် ဆေးခန်း,095160075,"အမှတ် ၃၉၊ မြောင်းမြလမ်း၊ စမ်းချောင်း"
Your Clinic ဆေးခန်း,01523892,"အမှတ် ၄၅/A၊ ပုသိမ်လမ်း၊ စမ်းချောင်း"
လုဗ္ဗနီအင်ကြင်း ဆေးခန်း,01527177,"အမှတ် ၄/A၊ ပဒေသာလမ်း၊ မြေနီကုန်း၊ စမ်းချောင်း"
မြတ်တော်၀င် ဆေးခန်း,01523007,"အမှတ် ၁၉/A၊ သီရိလမ်း၊ စမ်းချောင်း"
မော်ကျွန်း ဆေးခန်း,01500087,"အမှတ် ၂၆/B၊ ကြံခင်းလမ်း၊ စမ်းချောင်း"
ဒေါက်တာခင်မောင်အေး ဆေးခန်း,01511428,"အမှတ် ၁၅၊ ပဏ္႑ိတလမ်း၊ ရှင်စောပု၊ စမ်းချောင်း"
ဇော် ဆေးခန်း,01504614,"အမှတ် ၁၁၊ ပဏ္႑ိတလမ်း၊ ရှင်စောပု၊ စမ်းချောင်း"
ပြည့်စုံအောင် ဆေးခန်း,01526980,"အမှတ် ၉၊ အောင်တော်မူလမ်း၊ စမ်းချောင်း"
မဟာမြိုင် ဆေးရုံ,01504927,"အမှတ် ၃၀၈၊ ပြည်လမ်း၊ စမ်းချောင်း"
