Name,Mobile Phone,Address
ရှင်သန်ခြင်း ဆေးခန်း,09789791948,"အမှတ် ၄၄၊ ဌာနလမ်း၊ မကျည်းတန်းမြောက် အရှေ့ရပ်ကွက်၊ ကြည့်မြင်တိုင်"
ပရဟိတ နှလုံးသား,095035926,"တိုက် ၅၈၊ ပထမထပ်၊ ဗိုလ်သူရလမ်း၊ ဈေးကြီးအရှေ့ရပ်ကွက်၊ ကြည့်မြင်တိုင်"
ကြည့်မြင်တိုင်ဒေသန္တရဆေးခန်း,01535880,"အမှတ် ၄၈၊ ကျောင်းကြီးလမ်း၊ ကြည့်မြင်တိုင်"
ရန်ကုန်အနောက်ပိုင်းဆေးရုံကြီး,01222861,"အမှတ် ၇၄၄၊ သီတာလမ်းနှင့် အောက်ကြည့်မြင်တိုင်လမ်းထောင့်၊ ကြည့်မြင်တိုင်"
အရိုးရောဂါကုဆေးရုံကြီး,01527087,"အမှတ် ၁၃၂၊ ဟံသာ၀တီလမ်း၊ သရက်တော (မြောက်)ရပ်ကွက်၊ ကြည့်မြင်တိုင်"
ရန်ကုန်အထွေထွေဆေးရုံကြီး (အနောက်),01222860,"အမှတ် ၄၇၇၊ အထက်ကြည့်မြင်တိုင်လမ်းမကြီး၊ ကြည့်မြင်တိုင်"
ရွှင်ပြကြည်သာ အထူးကုဆေးခန်း,01525594,"အမှတ် ၁၆၊ ပန်းပင်ကြီးလမ်း၊ မကျီးတန်း(အနောက်တောင်)၊ ကြည့်မြင်တိုင်"
လင်းရောင်ခြည် အထူးကုဆေးခန်း,01220396,"အမှတ် ၅၁၂၊ အောက်ကြည့်မြင်တိုင်လမ်း၊ ကရင်အမျိုးသားရပ်ကွက်၊ ကြည့်မြင်တိုင်"
အေးရိပ်သာ အထွေထွေကုဆေးခန်း,01517516,"အမှတ် ၅၆၊ အုန်းပင်လမ်း၊ အရှေ့ဈေးကြီးရပ်ကွက်၊ ကြည့်မြင်တိုင်"
Eye Star မျက်စိစမ်းသပ်ခန်း,0973025198,"အမှတ် ၉၉၊ ဈေးကြီးလမ်း၊ ကြည့်မြင်တိုင်"
အလင်းသစ် ဆေးခန်း,015396064,"အမှတ် ၂၁/A၊ ကွမ်းရွဲတန်းလမ်း၊ ဈေးကြီး(အနောက်)၊ ကြည့်မြင်တိုင်"
လမင်း ဆေးခန်း (ကြည့်မြင်တိုင်),0973037002,"အမှတ် ၄၄၊ ဘောဂလမ်း၊ ဘောဂရပ်ကွက်၊ ကြည့်မြင်တိုင်"
ရေကြည်သာ ဆေးခန်း,09255939325,"မြေညီထပ်၊ ကမ်းသာယာပလာဇာ၊ ကြည့်မြင်တိုင်ကမ်းနားလမ်း"
အောင်တံခွန် ဆေးခန်း,01523378,"အမှတ် ၃၉၊ မြေညီထပ်၊ ဈေးကြီး (အနောက်) ရပ်ကွက်၊ ကြည့်မြင်တိုင်"
နွယ် ဆေးခန်း,01220367,"အမှတ် ၄၈၊ တော်၀င်လမ်း၊ ဘောဂရပ်ကွက်၊ ကြည့်မြင်တိုင်"
ဒေါက်တာစုလှိုင်ထွေး ဆေးခန်း,0973108223,"အမှတ် ၁၉၊ ဦးရွှေစိုးလမ်း၊ ကြည့်မြင်တိုင်"
ညွန့်မေတ္တာ ဆေးခန်း,01525141,"အမှတ် ၇၀/B၊ အုန်းပင်လမ်း၊ ဈေးကြီး(အရှေ့) ရပ်ကွက်၊ ကြည့်မြင်တိုင်"
စေတနာ ဆေးခန်း,0973003986,"အမှတ် ၆၂၊ ဦးဖိုးထူးလမ်း၊ အနောက်သာဓုရပ်ကွက်၊ ကြည့်မြင်တိုင်"
မဟာ ဆေးခန်း,019317121,"အမှတ် ၁၄၊ ပိတောက်ပင်လမ်း၊ ညဈေးမှတ်တိုင်၊ ကြည့်မြင်တိုင်"
ဧ၀ရက် အထူးကုဆေးခန်း,0930009289,"အမှတ် ၁၊ ဦးလူမောင်လမ်း၊ ကြည့်မြင်တိုင်"
